area,mid_人均,avg_价格,avg_口味,avg_环境,avg_服务,avg_星级
长宁区,44.0000,102.7693,3.9841811547542423,3.951341489590044,3.9688345138441785,3.9826786864134074
静安区,44.0000,92.2747,3.9882508995518977,3.9584620883039086,3.977940740952793,3.985775225594757
宝山区,41.0000,61.0850,3.8339905348566794,3.809875689756746,3.812090568587442,3.799696452286093
普陀区,37.0000,62.8013,3.8988614874592993,3.859174841323711,3.8731618638938072,3.8796725784447754
虹口区,37.0000,70.2422,3.9192368765375583,3.8813334216336384,3.8942362751020365,3.910887720383543
闵行区,42.0000,71.9070,3.8965300953626256,3.883173902264084,3.8870124523168768,3.8751669179409607
徐汇区,40.0000,87.7817,3.9557699150972323,3.933835136102527,3.942292017795599,3.953002001334227
黄浦区,45.0000,111.4274,4.030015329239455,4.001308404482992,4.015750033475663,4.039719709065113
杨浦区,36.0000,59.6915,3.915521677660387,3.874023202951382,3.8923754185454396,3.9015328151986255
嘉定区,40.0000,62.2278,3.836317633175096,3.830017044130832,3.8282851747824336,3.8093832599119106
浦东新区,39.0000,68.1646,3.866241412993164,3.8507624111963445,3.8536087097457625,3.8464959730735924
松江区,40.0000,61.2740,3.8387995874774785,3.8345206902575746,3.836829085952882,3.8174289520426474
奉贤区,43.0000,63.4748,3.7404106134453055,3.7370594002573494,3.7348197390774787,3.7235395189003504
青浦区,48.0000,64.9818,3.7922257835551028,3.788618560476368,3.7892930831668634,3.7661619984860004
金山区,42.0000,58.4346,3.7350029863587184,3.727874099351582,3.7237132173142444,3.712718023255825
崇明区,76.0000,80.7812,3.777611621147723,3.7671592689433813,3.766582233873439,3.7494505494505472
