lng,lat,人均价格,星级,口味,环境,服务
121.422227,31.229835,158,4.4,4.4,4.6,4.5
121.452426,31.2234729999999,251,4.8,4.8,4.6,4.7
121.412844,31.2961789999999,135,4.4,4.4,4.7,4.5
121.422083,31.230618,307,4.8,4.8,4.8,4.8
121.422802,31.2326249999999,96,4.4,4.7,4.6,4.8
121.450616999999,31.3228809999999,86,4.4,4.4,4.2,4.3
121.426355,31.213411,338,4.7,4.8,4.6,4.6
121.430063,31.21777,214,3.9,4.3,2.9,3.5
121.451691999999,31.2249289999999,435,4.5,3.9,4.8,4.3
121.465307999999,31.2704519999999,162,3.7,3.6,3.6,3.6
121.474709,31.2524659999999,76,3.2,3.2,3.1,3.1
121.461010999999,31.280394,100,4,4,3.7,3.9
121.461433,31.275357,171,3.9,4.1,3.9,3.9
121.422148,31.2305579999999,46,4,4.1,4.1,4.1
121.42327,31.233393,89,3.6,3.6,3.7,3.7
121.434770999999,31.269471,116,4.2,4.3,3.9,4
121.47731,31.246009,82,3.7,3.7,3.6,3.8
121.398122,31.190023,103,4.6,4.6,4.7,4.5
121.399844999999,31.187989,154,3.8,3.7,3.8,3.8
121.381539,31.1903679999999,56,3.6,3.6,3.5,3.6
121.359645,31.206606,370,4.9,4.9,4.9,4.9
121.396135,31.1911379999999,345,4.5,4.4,4.7,4.4
121.409237,31.1880999999999,96,4.5,4.1,4.4,4.2
121.430362,31.212391,571,4.7,4.5,4.7,4.5
121.363313,31.172055,82,4.6,4.5,4.8,4.6
121.390084,31.190337,1203,4.7,4.8,4.9,4.7
121.360068999999,31.205368,352,4.7,4.8,4.8,4.8
121.399641,31.193404,20,3.5,3.4,3.4,3.4
121.434755999999,31.214096,274,3.9,3.8,3.9,3.8
121.355953,31.190203,1525,4.8,4.8,4.8,4.8
121.362285999999,31.1919,136,2.9,3,2.8,2.8
121.391981,31.183616,180,4.1,4.2,4,3.9
121.367878,31.1906779999999,53,3.6,3.6,3.4,3.5
121.355067,31.191184,1003,4.8,4.8,4.9,4.8
121.355851999999,31.1910099999999,145,3.9,4,4.1,4
121.35209,31.2050899999999,95,3.8,3.8,3.8,3.7
121.433707999999,31.2101149999999,315,4.3,4.4,4.3,4.4
121.433976999999,31.217077,202,4.4,4.2,3.9,3.8
121.397913,31.189675,300,4.3,4.3,4.5,4.4
121.344314999999,31.196227,16,3.5,3.5,3.5,3.5
121.355316999999,31.192823,52,3.2,3.2,3.2,3.3
121.42237,31.200645,47,3.4,3.4,3.4,3.2
121.399114999999,31.191478,47,3.7,3.8,3.6,3.7
121.353573999999,31.200406,63,3.5,3.5,3.5,3.5
121.455089,31.2176469999999,117,4.1,3.7,3.1,3.2
121.453534,31.217897,297,4.8,4.8,4.8,4.8
121.468819999999,31.1943899999999,87,4,4,4.1,4.1
121.453239999999,31.217231,107,4.5,4.4,4.5,4.5
121.395775999999,31.1594319999999,132,3.8,3.8,3.8,3.8
121.412526,31.132807,63,3.7,3.7,3.5,3.6
121.456917,31.2123339999999,110,3.9,3.8,3.5,3.6
121.503988,31.2621119999999,65,3.7,3.7,3.7,3.7
121.511961999999,31.2535349999999,154,4.4,4.3,4.5,4.2
121.498891,31.262564,23,3.8,3.9,4,3.9
121.511388999999,31.2625579999999,119,4.6,4.6,4.3,4.6
121.50512,31.265243,172,4.1,4.1,4.2,4.1
121.499654,31.2875219999999,55,3.9,3.8,3.9,3.5
121.510401,31.2575229999999,65,3.5,3.5,3.5,3.5
121.482873999999,31.292356,167,3.5,3.7,3.6,3.7
121.507109,31.263839,65,4.3,4.6,4.5,4.4
121.485401999999,31.246253,309,3.5,3.4,3.6,3.4
121.469617,31.317104,53,3.5,3.5,3.5,3.5
121.485443,31.246397,626,4.1,4,4.4,4.2
121.411658,31.285345,100,4.2,4.1,3.9,4
121.36171,31.2391049999999,128,4.8,4.8,4.9,4.8
121.406968,31.2904249999999,106,3.1,3.3,3.3,3.3
121.37887,31.247695,83,4.3,4.2,4.5,4.2
121.410736,31.268732,102,4.6,4.6,4.5,4.5
121.406406,31.27841,96,4.5,4.6,4.2,4.5
121.415941,31.2782419999999,101,4.6,4.7,4.2,4.5
